Instance,(MCS) Time in cutting,(MCS) Cuts added,(MCS) Gap closed,(EW) Time in cutting,(EW) Cuts added,(EW) Gap closed,(RCW) Time in cutting,(RCW) Cuts added,(RCW) Gap closed,(LI) Time in cutting,(LI) Cuts added,(LI) Gap closed,(MS) Time in cutting,(MS) Cuts added,(MS) Gap closed,(ObO) Time in cutting,(ObO) Cuts added,(ObO) Gap closed,(S2V) Time in cutting,(S2V) Relative size,(S2V) Gap closed,(S1V) Time in cutting,(S1V) Relative size,(S1V) Gap closed,SCIP Default,SCIP No heuristics
st_rv3,0.201,8,13.77,0.2376,8,1.81,0.1815,8,14.13,0.0106,8,67.03,0.0376,8,67.03,0.0105,8,67.03,0.0569,5.83,39.64,0.0271,4.9,73.09,-4.8,-3.12
st_rv7,0.3705,8,1.11,0.3075,8,1.48,0.3494,8,2.22,0.0131,8,31.05,0.0236,8,31.05,0.0128,8,31.05,0.1393,8.26,6.64,0.032,4.93,31.03,-2.34,0.58
st_rv8,0.7718,10,1.01,0.7679,10,1.19,0.5653,10,1.65,0.0204,10,40.38,0.0586,10,40.38,0.0197,10,40.38,0.6269,10.75,9.4,0.0591,5.94,41.31,-3.07,-0.87
st_rv9,0.8138,10,0.68,0.8163,10,1.22,0.5842,10,2.71,0.0245,10,41.19,0.0455,10,41.19,0.0274,10,41.19,1.0093,13.22,9,0.0729,5.77,41.6,-4.96,-2.91
st_z,0.0043,3,98.77,0.0041,3,98.77,0.0039,3,98.77,0.0035,3,98.86,0.008,3,98.86,0.0036,3,98.86,0.0017,1,99.8,0.0018,1,99.85,1.13,1.13
torsion100,6742.2628,8264,0.33,6715.2655,7462,0.12,6840.1122,7300,0.15,101.1314,11063,2.99,101.5481,11063,2.99,119.4033,19241,5.87,TL,TL,TL,TL,TL,TL,93.99#,93.99
torsion25,500.6685,2695,0.73,495.924,2500,0.46,503.8126,2464,0.46,6.3827,3015,7.48,5.6869,3030,7.48,8.5526,5111,11.92,TL,TL,TL,TL,TL,TL,87.66#,87.66#
torsion50,2339.3473,4665,0.44,2311.3739,4316,0.29,2396.0893,4243,0.3,33.3726,5662,6.83,30.8559,5662,6.83,42.1279,9799,11.09,TL,TL,TL,TL,TL,TL,88.62#,88.62#
torsion75,5716.1103,6280,0.45,5641.692,5667,0.18,5840.1982,5566,0.23,60.4756,8459,3.31,58.0377,8459,3.31,78.5011,14669,6.03,TL,TL,TL,TL,TL,TL,93.77#,93.77#
wastewater02m1,0.0067,1,0,0.0053,1,0,0.0032,2,16.83,0.0072,2,30.4,0.0075,2,0,0.0064,4,30.4,0.0029,1.08,16.83,0.0848,1.08,36.05,-20.54,17.82
wastewater02m2,0.0735,1,0.02,0.03,0,0,0.0155,2,33.61,0.0076,4,50.99,0.0139,5,63.4,0.0118,9,63.4,0.007,1.73,33.6,0.0052,1.66,64.16,-42.83,20.71
wastewater04m1,0.01,1,0,0.017,2,0,0.0087,2,0,0.0111,4,0,0.0098,4,0,0.0246,6,0,0.0019,1,0,0.0018,1,0,0,0
wastewater04m2,0.1456,2,0.34,0.0245,2,0.34,0.0287,4,0.58,0.0206,4,0.34,0.0868,4,0.34,0.0202,11,0.34,0.0137,1.13,16.33,0.0093,1.31,23.69,3.83,14.85
wastewater05m1,0.1541,3,0,0.1279,4,0,0.1521,5,0,0.0213,6,0,0.02,6,0,0.1924,14,0,0.0099,1.26,0,0.0089,1.29,0,0,0
wastewater05m2,0.4911,9,3.45,0.5124,1,0,0.6485,2,0,0.3598,16,0,0.2057,18,0,0.2859,41,0,0.071,1.43,15.26,0.0759,1.97,0,0,0
wastewater11m1,0.5585,3,0,0.6124,3,0,0.6129,5,0,0.1415,8,0,0.1358,8,0,0.227,16,0,0.2427,3.14,0,0.0237,1.4,0,0,0
wastewater12m1,0.469,2,0,0.5053,2,0,0.3018,4,0,0.0452,6,0,0.1296,6,0,0.1961,12,0,0.6971,3.79,0,0.0291,1.25,0,0,0
wastewater13m1,0.674,2,0,0.2392,2,0,0.2384,2,0,0.0516,5,0,0.0167,5,0,0.0361,10,0,16.2716,4.63,0,0.077,1.23,0,0,0
wastewater15m1,0.1716,9,0,0.3845,9,0,0.2527,12,0,0.1609,17,0,0.0808,17,0,0.2286,35,0,0.0158,1.26,0,0.0142,1.55,2.94,0,0
wastewater15m2,0.3199,3,0,0.416,2,0,0.4593,18,0.16,0.1941,18,7.35,0.1672,17,0,0.2483,38,7.67,0.0372,1.3,0.42,0.0225,1.43,10.87,-7.8,-7.8
waterund11,0.7298,57,3.2,0.8517,51,3.47,0.8123,45,3.84,0.4665,57,26.83,0.4698,57,32.16,0.5723,114,34.35,1.8738,7.98,5.57,0.6398,7.47,41.29,-4.88,0.1
